VCD info: dumpfile sim/out/p1_top_tb.vcd opened for output.
t=5865000 instr=0 addr=0x000010d8 wstrb=0xf wdata=0x00000007 rdata=0x00000000 trap=0
t=5895000 instr=1 addr=0x000001dc wstrb=0x0 wdata=0x00000007 rdata=0x0c552e23 trap=0
t=5915000 instr=0 addr=0x000005dc wstrb=0x0 wdata=0x00000007 rdata=0x00000002 trap=0
t=5945000 instr=1 addr=0x000001e0 wstrb=0x0 wdata=0x00000007 rdata=0x0e05a283 trap=0
t=5965000 instr=0 addr=0x000010dc wstrb=0xf wdata=0x00000002 rdata=0x00000000 trap=0
t=5995000 instr=1 addr=0x000001e4 wstrb=0x0 wdata=0x00000002 rdata=0x0e552023 trap=0
t=6015000 instr=0 addr=0x000005e0 wstrb=0x0 wdata=0x00000002 rdata=0x00000003 trap=0
t=6045000 instr=1 addr=0x000001e8 wstrb=0x0 wdata=0x00000002 rdata=0x0e45a283 trap=0
t=6065000 instr=0 addr=0x000010e0 wstrb=0xf wdata=0x00000003 rdata=0x00000000 trap=0
t=6095000 instr=1 addr=0x000001ec wstrb=0x0 wdata=0x00000003 rdata=0x0e552223 trap=0
t=6115000 instr=0 addr=0x000005e4 wstrb=0x0 wdata=0x00000003 rdata=0x00000003 trap=0
t=6145000 instr=1 addr=0x000001f0 wstrb=0x0 wdata=0x00000003 rdata=0x0e85a283 trap=0
t=6165000 instr=0 addr=0x000010e4 wstrb=0xf wdata=0x00000003 rdata=0x00000000 trap=0
t=6195000 instr=1 addr=0x000001f4 wstrb=0x0 wdata=0x00000003 rdata=0x0e552423 trap=0
t=6215000 instr=0 addr=0x000005e8 wstrb=0x0 wdata=0x00000003 rdata=0x0000000a trap=0
t=6245000 instr=1 addr=0x000001f8 wstrb=0x0 wdata=0x00000003 rdata=0x0ec5a283 trap=0
t=6265000 instr=0 addr=0x000010e8 wstrb=0xf wdata=0x0000000a rdata=0x00000000 trap=0
t=6295000 instr=1 addr=0x000001fc wstrb=0x0 wdata=0x0000000a rdata=0x0e552623 trap=0
t=6315000 instr=0 addr=0x000005ec wstrb=0x0 wdata=0x0000000a rdata=0x0000000f trap=0
t=6345000 instr=1 addr=0x00000200 wstrb=0x0 wdata=0x0000000a rdata=0x0f05a283 trap=0
t=6365000 instr=0 addr=0x000010ec wstrb=0xf wdata=0x0000000f rdata=0x00000000 trap=0
t=6395000 instr=1 addr=0x00000204 wstrb=0x0 wdata=0x0000000f rdata=0x0e552823 trap=0
